127.0.0.1, 2017-02-26 20:53:41, POST, /auth/default/user/register, HTTP/1.1, 303, 0.020343
127.0.0.1, 2017-02-26 20:53:41, GET, /auth/default/index, HTTP/1.1, 200, 0.026610
127.0.0.1, 2017-02-26 20:55:43, GET, /auth/default/index, HTTP/1.1, 200, 0.042224
127.0.0.1, 2017-02-26 20:55:44, GET, /auth/static/images/favicon.ico, HTTP/1.1, 200, 0.000578
127.0.0.1, 2017-02-26 20:55:49, GET, /auth/default/create_post, HTTP/1.1, 200, 0.030313
127.0.0.1, 2017-02-26 20:55:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000310
127.0.0.1, 2017-02-26 20:55:55, POST, /auth/default/create_post, HTTP/1.1, 200, 0.024385
127.0.0.1, 2017-02-26 20:55:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000177
127.0.0.1, 2017-02-26 20:55:57, GET, /auth/default/index, HTTP/1.1, 200, 0.022389
127.0.0.1, 2017-02-26 21:06:56, GET, /auth/default/index, HTTP/1.1, 200, 0.041861
127.0.0.1, 2017-02-26 21:06:57, GET, /auth/static/images/favicon.ico, HTTP/1.1, 200, 0.001013
127.0.0.1, 2017-02-26 21:07:56, GET, /auth/default/index, HTTP/1.1, 200, 0.026358
127.0.0.1, 2017-02-26 21:07:56, GET, /auth/static/images/favicon.ico, HTTP/1.1, 200, 0.000386
127.0.0.1, 2017-02-26 21:08:11, GET, /auth/default/index, HTTP/1.1, 200, 0.037730
127.0.0.1, 2017-02-26 21:08:11, GET, /auth/static/images/favicon.ico, HTTP/1.1, 200, 0.000450
127.0.0.1, 2017-02-26 21:08:34, GET, /auth/default/index, HTTP/1.1, 200, 0.058028
127.0.0.1, 2017-02-26 21:08:35, GET, /auth/static/images/favicon.ico, HTTP/1.1, 200, 0.000297
127.0.0.1, 2017-02-26 21:15:07, GET, /auth/default/index, HTTP/1.1, 200, 0.045884
127.0.0.1, 2017-02-26 21:15:07, GET, /auth/static/images/favicon.ico, HTTP/1.1, 200, 0.000574
127.0.0.1, 2017-02-26 21:15:15, GET, /auth/default/index, HTTP/1.1, 200, 0.050051
127.0.0.1, 2017-02-26 21:15:16, GET, /auth/static/images/favicon.ico, HTTP/1.1, 200, 0.000441
127.0.0.1, 2017-02-26 21:18:29, GET, /auth/default/index, HTTP/1.1, 500, 0.054396
127.0.0.1, 2017-02-26 21:18:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000221
127.0.0.1, 2017-02-26 21:18:42, GET, /auth/default/index, HTTP/1.1, 200, 0.025252
127.0.0.1, 2017-02-26 21:18:43, GET, /auth/static/images/favicon.ico, HTTP/1.1, 200, 0.000601
127.0.0.1, 2017-02-26 21:19:02, GET, /auth/default/index, HTTP/1.1, 200, 0.028244
127.0.0.1, 2017-02-26 21:19:02, GET, /auth/static/images/favicon.ico, HTTP/1.1, 200, 0.000539
127.0.0.1, 2017-02-26 21:19:19, GET, /auth/default/index, HTTP/1.1, 200, 0.026517
127.0.0.1, 2017-02-26 21:19:19, GET, /auth/static/images/favicon.ico, HTTP/1.1, 200, 0.000508
127.0.0.1, 2017-02-26 21:19:27, GET, /auth/default/index, HTTP/1.1, 200, 0.025660
127.0.0.1, 2017-02-26 21:19:27, GET, /auth/static/images/favicon.ico, HTTP/1.1, 200, 0.000346
127.0.0.1, 2017-02-26 21:19:46, GET, /auth/default/index, HTTP/1.1, 200, 0.060393
127.0.0.1, 2017-02-26 21:19:47, GET, /auth/static/images/favicon.ico, HTTP/1.1, 200, 0.000538
127.0.0.1, 2017-02-26 21:20:03, GET, /auth/default/index, HTTP/1.1, 200, 0.026978
127.0.0.1, 2017-02-26 21:20:04, GET, /auth/static/images/favicon.ico, HTTP/1.1, 200, 0.000364
127.0.0.1, 2017-02-26 21:20:59, GET, /auth/default/index, HTTP/1.1, 200, 0.028578
127.0.0.1, 2017-02-26 21:21:00, GET, /auth/static/images/favicon.ico, HTTP/1.1, 200, 0.000314
127.0.0.1, 2017-02-26 21:22:26, GET, /auth/default/index, HTTP/1.1, 200, 0.040857
127.0.0.1, 2017-02-26 21:22:27, GET, /auth/static/images/favicon.ico, HTTP/1.1, 200, 0.004058
127.0.0.1, 2017-02-26 21:22:49, GET, /auth/default/index, HTTP/1.1, 200, 0.026275
127.0.0.1, 2017-02-26 21:22:49, GET, /auth/static/images/favicon.ico, HTTP/1.1, 200, 0.000411
127.0.0.1, 2017-02-26 21:25:14, GET, /auth/default/index, HTTP/1.1, 200, 0.025408
127.0.0.1, 2017-02-26 21:25:15, GET, /auth/static/images/favicon.ico, HTTP/1.1, 200, 0.000516
127.0.0.1, 2017-02-26 21:26:31, GET, /auth/default/index, HTTP/1.1, 200, 0.046729
127.0.0.1, 2017-02-26 21:26:31, GET, /auth/static/images/favicon.ico, HTTP/1.1, 200, 0.000313
127.0.0.1, 2017-02-26 21:27:07, GET, /auth/default/index, HTTP/1.1, 500, 0.063280
127.0.0.1, 2017-02-26 21:27:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000184
127.0.0.1, 2017-02-26 21:27:09, GET, /admin/default/ticket/auth/127.0.0.1.2017-02-26.21-27-07.b0788da0-5345-45cd-85a9-22f3a0219cdb, HTTP/1.1, 200, 0.174797
127.0.0.1, 2017-02-26 21:27:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000284
127.0.0.1, 2017-02-26 21:27:38, GET, /auth/default/index, HTTP/1.1, 500, 0.017687
127.0.0.1, 2017-02-26 21:27:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000183
127.0.0.1, 2017-02-26 21:28:31, GET, /admin/default/ticket/auth/127.0.0.1.2017-02-26.21-27-07.b0788da0-5345-45cd-85a9-22f3a0219cdb, HTTP/1.1, 200, 0.091015
127.0.0.1, 2017-02-26 21:28:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000177
127.0.0.1, 2017-02-26 21:28:33, GET, /auth/default/index, HTTP/1.1, 500, 0.041756
127.0.0.1, 2017-02-26 21:28:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000295
127.0.0.1, 2017-02-26 21:28:34, GET, /auth/default/index, HTTP/1.1, 500, 0.014954
127.0.0.1, 2017-02-26 21:28:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000214
127.0.0.1, 2017-02-26 21:28:35, GET, /auth/default/create_post, HTTP/1.1, 200, 0.020814
127.0.0.1, 2017-02-26 21:28:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000175
127.0.0.1, 2017-02-26 21:28:39, GET, /auth/default/create_post, HTTP/1.1, 200, 0.047008
127.0.0.1, 2017-02-26 21:28:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000242
127.0.0.1, 2017-02-26 21:28:41, GET, /admin/default/design/auth, HTTP/1.1, 200, 0.093139
127.0.0.1, 2017-02-26 21:28:41, GET, /admin/static/_2.14.6/images/search.png, HTTP/1.1, 200, 0.001057
127.0.0.1, 2017-02-26 21:28:41, GET, /admin/static/_2.14.6/images/delete_icon.png, HTTP/1.1, 200, 0.000455
127.0.0.1, 2017-02-26 21:28:41, GET, /admin/static/_2.14.6/images/test_icon.png, HTTP/1.1, 200, 0.000415
127.0.0.1, 2017-02-26 21:28:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000179
127.0.0.1, 2017-02-26 21:28:43, GET, /admin/default/index, HTTP/1.1, 303, 0.003838
127.0.0.1, 2017-02-26 21:28:43, GET, /admin/default/site, HTTP/1.1, 200, 0.043646
127.0.0.1, 2017-02-26 21:28:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000277
127.0.0.1, 2017-02-26 21:28:45, GET, /auth/default/index, HTTP/1.1, 500, 0.018100
127.0.0.1, 2017-02-26 21:28:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000319
127.0.0.1, 2017-02-26 21:29:00, GET, /auth/default/index, HTTP/1.1, 200, 0.035639
127.0.0.1, 2017-02-26 21:29:00, GET, /auth/static/images/favicon.ico, HTTP/1.1, 200, 0.000374
127.0.0.1, 2017-02-26 21:29:20, GET, /auth/default/index, HTTP/1.1, 500, 0.021119
127.0.0.1, 2017-02-26 21:29:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000182
127.0.0.1, 2017-02-26 21:29:22, GET, /admin/default/ticket/auth/127.0.0.1.2017-02-26.21-29-20.e5dd0c0f-7499-4e7b-aaa9-47a0680e9bb7, HTTP/1.1, 200, 0.152850
127.0.0.1, 2017-02-26 21:29:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000307
127.0.0.1, 2017-02-26 21:30:08, GET, /admin/default/index, HTTP/1.1, 303, 0.015734
127.0.0.1, 2017-02-26 21:30:08, GET, /admin/default/site, HTTP/1.1, 200, 0.060274
